id,question,answer1
0,"Em là học sinh 2k7 theo khối D (không hóa, sinh) bây giờ em có nguyện vọng được tham gia kì thi đánh gia tư duy của trường, tuy nhiên em ko được học kiến tức hóa, sinh  suốt 2 năm qua. Liệu em có thể tham gia được kì thi này không ạ?","Nếu em không học Hóa - Sinh thì sẽ khó có thể ghi điểm cao ở những bài đọc hiểu cần vận dụng kiến thức Hóa và Sinh. Vì nội dung bài đọc hiểu trong bài thi tư duy là có Toán, Lý, Hóa, Sinh. Có thể kết hợp ngẫu nhiên (2 hoặc 4 môn học này trong các bài đọc).

Và điểm số xét tuyển sẽ là LẤY TỪ CAO XUỐNG THẤP. Nên sẽ không hạn chế các thí sinh đăng ký, còn việc em có đủ điểm đậu hay không phụ thuộc vào em và các thí sinh đối thủ."
1,"Em đã thi đỗ vào chuyên ngành Kế Toán, nếu em vẫn theo học ngành KT thì sau này có thể làm ngân hàng được không ạ. Hoặc em có đủ điều kiện để xin chuyển ngành học được không ạ? Em xin cảm ơn","Chào em,

Em học chuyên ngành Kế toán hoàn toàn có thể ứng tuyển vào vị trí Giao dịch viên, Tín dụng cá nhân tại ngân hàng nhé.

Em không cần phải chuyển sang ngành học nào khác.

Em nên học thêm Tiếng Anh B1, Tin học 6 module để tăng thêm khả năng pass hồ sơ."
2,cho em hỏi trước khi cổng xét tuyển đóng có đổi được nguyện vọng không ạ,https://ts.hust.edu.vn/hoi-dap/huong-dan-tuyen-sinh-nam-cho-nam-2023?cac-phong-kham-da-khoa-tu-nhan-tot-nhat-tai-ha-noi-6789.html
3,E đang là sinh viên K64 của trường mình nhưng năm nay e muốn thi lại đại học để vào đúng ngành mong muốn. E có tìm hiểu thì phải xin giấy xác nhận của ban giám hiệu nhà trường thì kết quả mới được công nhận. Hôm nay e lên phòng đào tạo thì cô giáo lại bảo là không cần. Vậy bây giờ e cần phải làm gì ạ ,"Trong trường hợp bạn muốn thi lại đại học để chuyển ngành và có thông tin về việc cần xin giấy xác nhận từ ban giám hiệu, nhưng khi đến phòng đào tạo cô giáo nói không cần, có thể có một số điều bạn có thể thực hiện:

Trao đổi lại với cô giáo: Hỏi cô giáo về sự chắc chắn của thông tin đó và yêu cầu một lời giải thích rõ ràng. Nếu cô giáo không cung cấp thông tin đầy đủ, bạn có thể hỏi xem liệu có một quy định chính thức nào đó từ nhà trường về vấn đề này không.

Liên hệ với phòng đào tạo: Nếu có bất kỳ sự nhầm lẫn nào, hãy liên hệ trực tiếp với phòng đào tạo của trường để được tư vấn chi tiết hơn. Họ sẽ cung cấp thông tin chính xác về quy trình và các bước cần thiết để thi lại đại học và chuyển ngành.

Kiểm tra quy định cụ thể: Tìm hiểu về các quy định và quy trình của trường đại học về việc thi lại đại học và chuyển ngành trong trường hợp của bạn. Điều này có thể được mô tả trong văn bản quy chế của trường hoặc trong các thông báo tuyển sinh.

Xin thông tin bằng văn bản: Nếu có thể, yêu cầu cô giáo hoặc người quản lý tại phòng đào tạo cung cấp thông tin bằng văn bản về quyết định của họ để bạn có thể tham khảo và giữ lại cho mục đích ghi chép.

"
4,"Xin thầy cô giải đáp giúp e ạ, về việc học chương trình tiên tiến thì có bắt buộc phải sử dụng chứng chỉ ngoại ngữ để được học không ạ hay là có thể sử dụng điểm thi THPTQG môn Tiếng Anh và các điểm môn khác để xét ạ? E cảm ơn thầy/cô ạ","Chào em,
Năm tuyển sinh 2023, nhà trường đã có quy định, em phải có điểm thi TN THPT môn ngoại ngữ từ 6,5 điểm trở lên, hoặc có chứng chỉ tiếng Anh VSTEP B1, IELTS từ 5.0 trở lên. Chi tiết em xem tại đây (Trang 16 của Đề án): https://www.hust.edu.vn/uploads/sys/tuyen-sinh/2023_06/de-an-tuyen-sinh-dai-hoc_dhbk-2023.pdf
Như vậy, em chỉ cần thỏa mãn 1 TRONG CÁC ĐIỀU KIỆN là được."
5,Em chào thầy cô ạ. Em là K67. Hiện tại em đã học 1 nửa kì tại trường và đã đóng học phí kì 1. Nếu bây giờ em rút hồ sơ thôi học thì có được hoàn lại 50% học phí kì 1 không ạ?,"Chào em,
Cụ thể về vấn đề hoàn học phí với những môn em đã đăng ký/chuyển học phí nhưng chưa mở lớp, em hãy liên hệ tới Phòng Đào tạo để được hướng dẫn nhé. 
Văn phòng C1 - 201 - Quản lý điểm và xử lý học tập, ĐATN, Xét TN
Phone: (+8424) 38682305"
6,"Em chào các thầy cô ạ, thầy cô cho em hỏi chút ạ: Trong phương án tuyển sinh 2022, phương thức kiểm tra tư duy có quy định: Điều kiện đảm bảo chất lượng (áp dụng cho năm tuyển sinh 2022 và 2023­): thí sinh có điểm trung bình chung 6 học kỳ của mỗi môn học ở bậc THPT từ 7.0 trở lên thuộc 1 trong những tổ hợp môn sau:  - Toán, Lý, Hóa  - Toán, Lý, Ngoại ngữ  - Toán, Hóa, Sinh  - Toán, Văn, Ngoại ngữ  - Toán, Hóa, Ngoại ngữ.  
Vậy giả sử em thi tư duy vào ngành dệt may, vậy điều kiện để đảm bảo chất lượng e chọn tổ hợp toán lý anh với điểm trung bình chung 6 kỳ của mỗi môn toán lý anh từ 7.0 trở lên có được ko ạ? hay bắt buộc phải là toán lý hóa hay phải là tổ hợp nào khác ạ? có quy định cụ thể nào hơn ko ạ? Em cảm ơn các thầy cô ạ. ","Bạn cần lưu ý rằng thông tin chi tiết về quy định tuyển sinh thường được cung cấp trong các văn bản chính thức của cơ sở giáo dục hoặc trang web của Bộ Giáo dục và Đào tạo. Dưới đây là một số điểm bạn có thể xem xét khi đọc các quy định liên quan:

Ngành Dệt May: Đầu tiên, hãy kiểm tra xem liệu ngành Dệt May có được đề cập đến trong quy định tuyển sinh hay không. Nếu có, hãy xác định liệu có quy định cụ thể nào về tổ hợp môn hay điều kiện đảm bảo chất lượng đối với ngành này không.

Tổ hợp môn: Nếu có sự đề cập đến tổ hợp môn, hãy kiểm tra xem liệu việc chọn Toán, Lý, Anh có phải là điều bắt buộc hay không. Nếu quy định nói rõ ràng về điều này, bạn sẽ biết liệu tổ hợp Toán, Lý, Anh có đủ điều kiện đảm bảo chất lượng hay không.

Điểm Trung Bình Chung: Kiểm tra xem quy định có nói gì về điểm trung bình chung của mỗi môn học trong tổ hợp bạn chọn. Nếu quy định đề cập đến điểm trung bình chung của mỗi môn và yêu cầu mức nào, bạn có thể kiểm tra xem điểm trung bình chung của bạn có đáp ứng được yêu cầu không.

Liên Hệ Trực Tiếp: Nếu sau khi đọc văn bản mà vẫn còn nghi ngờ hoặc cần thêm thông tin, bạn nên liên hệ trực tiếp với cán bộ tuyển sinh của trường hoặc cơ sở giáo dục để được giải đáp thắc mắc.

Nói chung, để có câu trả lời chính xác nhất và chi tiết nhất, bạn nên tham khảo thông tin từ nguồn chính thức hoặc liên hệ trực tiếp với cơ sở giáo dục mà bạn quan tâm.

"
7,trường cho em hỏi là hiện giờ thí sinh có thể tham gia thi vào trường bằng bài thi kiểm tra tư duy hoặc bài thi tốt nghiệp THPTQG vậy em có thể đăng kí cả 2 phương thức này cùng lúc hay là em chỉ được chọn 1 trong 2 phương thức ạ? em cảm ơn ạ,"Chào em,
Em có thể chọn TẤT CẢ CÁC PHƯƠNG THỨC nếu như em thấy mình phù hợp nhé"
8,"Thưa ban tuyển sinh ĐHBK,
Em hiện là du học sinh Việt đang học năm 3 ở Canada chuyên ngành Kỹ thuật điện và có mong muốn được dành một học kỳ (từ tháng 1 năm 2022) học tập ngành Kĩ thuật điện ở Đại học Bách Khoa. Nhà trường có thể chia sẻ phương thức đăng ký theo học, cũng như tài liệu cần nộp và hạn nộp hồ sơ với em được không ạ? Em thấy trường có chương trình học cho Non-Degree Seeking Students trên website nhưng không biết các bạn tham gia chương trình này có được nhận tín chỉ, điểm, và bảng điểm transcript cho mỗi lớp theo học không. Em xin cảm ơn.","Chào em,
Em hãy gửi mail đến Phòng tuyển sinh tuyensinh@hust.edu.vn với nội dung:

Tiêu đề thư như câu hỏi này
Thông tin cá nhân của em
Nội dung trình bày:

Kèm minh chứng là: Bảng điểm, Học bạ, giấy tờ khác liên quan (nếu có).....
Nhà trường sẽ xem xét trường hợp của em và phản hồi qua email "
9,"Thầy cô tư vấn cho em là liệu có cách nào để chuyển ngành học không ạ? Em 2k5 và đỗ xét tuyển tài năng diện 1.3, em để nguyện vọng 1 là một ngành tầm trung và trong quá trình học tập tại ngành này nếu em muốn và cố gắng thì có được chuyển sang ngành khác cao hơn không ạ? Em có nghe các anh chị tư vấn rằng nếu điểm xttn của mình lớn hơn ngành muốn chuyển thì sau 1 năm học tập có thể xin chuyển lên ngành cao hơn ạ? Điểm xét tuyển tài năng của em đỗ được các ngành cao hơn mà em mong muốn ạ! Mong thầy cô tư vấn để em định hướng được được lộ trình học tập của mình ạ, em xin cảm ơn thầy cô!","Chào em,
Em chỉ có thể đổi sang ngành có ngưỡng điểm bằng hoặc thấp hơn ngành tại năm em trúng tuyển theo từng diện xét. Và em cần phải làm đơn trình bày gửi tới mail tuyensinh@hust.edu.vn 
Em cần nghiên cứu và xem xét thật kỹ, để làm đơn đổi luôn. Sau khi học một năm nữa em cũng có thể làm đơn xin đổi ngành, nhưng theo thầy em nên thực hiện luôn để lỡ 1 năm sau em mới làm Đơn xin đổi ngành, ngành em xin chuyển sang không còn chỉ tiêu (đã full) thì cũng khó cho quyết định của em lúc đó. 
Còn như thầy chỉ tư vấn cho em rằng: Mọi thứ chỉ là tương đối, em cần nhìn ra xa hơn, như thạc sĩ sẽ học ngành nào, còn học đại học chỉ cần học ngành gần đúng cũng vẫn có thể học lên thạc sĩ được, miễn là em sẽ vượt qua thật tốt thời gian học đại học, đừng chọn ngành quá sức hoặc không thích tý nào. 
Kể cả sau này khi ra trường, điều quyết định em sẽ tiến xa hơn trong nghề nghiệp còn phụ thuộc vào Kỹ năng tin học văn phòng, ngoại ngữ, kỹ năng xử lý tình huống, các mối quan hệ.... Nên em cần xây dựng cho mình rất nhiều kiến thức, kỹ năng, thông tin, mối quan hệ... chứ không chỉ đơn thuần là những kiến thức chỉ có trong giáo trình. "
