id,question,answer
0,em là học_sinh 2k7 theo khối D không_hóa sinh bây_giờ em có nguyện_vọng được tham_gia kì thi đánh gia_tư_duy của trường tuy_nhiên em ko được học kiến tức_hóa_sinh suốt 2 năm qua liệu em có_thể tham_gia được kì thi này không ạ,nếu em không học_hóa_sinh thì sẽ khó có_thể ghi_điểm_cao ở những bài đọc hiểu cần vận_dụng kiến_thức_hóa và sinh vì nội_dung bài đọc hiểu trong bài thi tư_duy là có toán lý_hóa_sinh có_thể kết_hợp ngẫu_nhiên 2 hoặc 4 môn_học này trong các bài đọc và điểm số xét tuyển sẽ là LẤY TỪ CAO XUỐNG THẤP nên sẽ không hạn_chế các thí_sinh đăng_ký còn việc em có đủ điểm đậu hay không phụ_thuộc vào em và các thí_sinh đối_thủ
1,em đã thi đỗ vào chuyên_ngành kế_toán nếu em vẫn theo học ngành KT thì sau_này có_thể làm ngân_hàng được không ạ hoặc em có đủ điều_kiện để xin chuyển ngành học được không ạ em xin cảm_ơn,chào em_em học chuyên_ngành kế_toán hoàn_toàn có_thể ứng_tuyển vào vị_trí giao_dịch_viên tín_dụng cá_nhân tại ngân_hàng nhé em không cần phải chuyển sang ngành học nào khác em nên học thêm tiếng anh B1 tin_học 6 module để tăng thêm khả_năng pass hồ_sơ
2,cho em hỏi trước khi cổng xét tuyển đóng có đổi được nguyện_vọng không ạ,https ts hust edu vn hoi dap huong dan tuyen sinh nam cho nam 2023 cac phong kham da khoa tu nhan tot nhat tai ha noi 6789 html
3,E đang là sinh_viên K64 của trường mình nhưng năm nay e muốn thi lại đại_học để vào đúng ngành mong_muốn E có tìm_hiểu thì phải xin giấy xác_nhận của ban giám_hiệu nhà_trường thì kết_quả mới được công_nhận hôm_nay e lên phòng đào_tạo thì cô_giáo lại bảo là không cần vậy bây_giờ e cần phải làm gì ạ,trong trường_hợp bạn muốn thi lại đại_học để chuyển ngành và có thông_tin về việc cần xin giấy xác_nhận từ ban giám_hiệu nhưng khi đến phòng đào_tạo cô_giáo nói không cần có_thể có một_số điều bạn có_thể thực_hiện trao_đổi lại với cô_giáo hỏi cô_giáo về sự chắc_chắn của thông_tin đó và yêu_cầu một lời giải_thích rõ_ràng nếu cô_giáo không cung_cấp thông_tin đầy_đủ bạn có_thể hỏi xem liệu có một quy_định chính_thức nào đó từ nhà_trường về vấn_đề này không liên_hệ với phòng đào_tạo nếu có bất_kỳ sự nhầm_lẫn nào hãy liên_hệ trực_tiếp với phòng đào_tạo của trường để được tư_vấn chi_tiết hơn họ sẽ cung_cấp thông_tin chính_xác về quy_trình và các bước cần_thiết để thi lại đại_học và chuyển ngành kiểm_tra quy_định cụ_thể tìm_hiểu về các quy_định và quy_trình của trường đại_học về việc thi lại đại_học và chuyển ngành trong trường_hợp của bạn điều này có_thể được mô_tả trong văn_bản quy_chế của trường hoặc trong các thông_báo tuyển_sinh xin thông_tin bằng văn_bản nếu có_thể yêu_cầu cô_giáo hoặc người quản_lý tại phòng đào_tạo cung_cấp thông_tin bằng văn_bản về quyết_định của họ để bạn có_thể tham_khảo và giữ lại cho mục_đích ghi_chép
4,xin thầy cô giải_đáp giúp e ạ về việc học chương_trình tiên_tiến thì có bắt_buộc phải sử_dụng chứng_chỉ ngoại_ngữ để được học không ạ hay_là có_thể sử_dụng điểm thi THPTQG môn tiếng anh và các điểm môn khác để xét ạ E cảm_ơn thầy cô ạ,chào em năm tuyển_sinh 2023 nhà_trường đã có quy_định em phải có điểm thi TN THPT môn ngoại_ngữ từ 6 5 điểm trở lên hoặc có chứng_chỉ tiếng anh VSTEP B1 IELTS từ 5 0 trở lên chi_tiết em xem tại đây trang 16 của đề_án https www hust edu vn uploads sys tuyen sinh 2023 06 de an tuyen sinh dai hoc dhbk 2023 pdf như_vậy em chỉ cần thỏa_mãn 1 TRONG CÁC ĐIỀU_KIỆN là được
5,em chào thầy cô ạ em là K67 hiện_tại em đã học 1 nửa kì tại trường và đã đóng học_phí kì 1 nếu bây_giờ em rút hồ_sơ thôi học thì có được hoàn lại 50 học_phí kì 1 không ạ,chào em cụ_thể về vấn_đề hoàn học_phí với những môn em đã đăng_ký chuyển học_phí nhưng chưa mở lớp em hãy liên_hệ tới phòng đào_tạo để được hướng_dẫn nhé văn_phòng C1 201 quản_lý điểm và xử_lý học_tập ĐATN xét tn phone 8424 38682305
6,em chào các thầy cô ạ thầy cô cho em hỏi chút ạ trong phương_án tuyển_sinh 2022 phương_thức kiểm_tra tư_duy có quy_định điều_kiện đảm_bảo chất_lượng áp_dụng cho năm tuyển_sinh 2022 và 2023 thí_sinh có điểm trung_bình chung 6 học_kỳ của mỗi môn_học ở bậc THPT từ 7 0 trở lên thuộc 1 trong những tổ_hợp môn sau toán lý_hóa toán lý ngoại_ngữ toán_hóa sinh toán văn ngoại_ngữ toán_hóa ngoại_ngữ vậy giả_sử em thi tư_duy vào ngành dệt may vậy điều_kiện để đảm_bảo chất_lượng e chọn tổ_hợp toán lý anh với điểm trung_bình chung 6 kỳ của mỗi môn toán lý anh từ 7 0 trở lên có được ko ạ hay bắt_buộc phải là toán lý_hóa hay phải là tổ_hợp nào khác ạ có quy_định cụ_thể_nào hơn ko ạ em cảm_ơn các thầy cô ạ,bạn cần lưu_ý rằng thông_tin chi_tiết về quy_định tuyển_sinh thường được cung_cấp trong các văn_bản chính_thức của cơ_sở giáo_dục hoặc trang_web của bộ giáo_dục và đào_tạo dưới đây là một_số điểm bạn có_thể xem_xét khi đọc các quy_định liên_quan ngành dệt may đầu_tiên hãy kiểm_tra xem liệu ngành dệt may có được đề_cập đến trong quy_định tuyển_sinh hay không nếu có hãy xác_định_liệu có quy_định cụ_thể_nào về tổ_hợp môn hay điều_kiện đảm_bảo chất_lượng đối_với ngành này không tổ_hợp môn nếu có sự đề_cập đến tổ_hợp môn hãy kiểm_tra xem liệu việc chọn toán lý anh có phải là điều bắt_buộc hay không nếu quy_định nói rõ_ràng về điều này bạn sẽ biết liệu tổ_hợp toán lý anh có đủ điều_kiện đảm_bảo chất_lượng hay không điểm trung_bình chung kiểm_tra xem quy_định có nói gì về điểm trung_bình chung của mỗi môn_học trong tổ_hợp bạn chọn nếu quy_định_đề_cập đến điểm trung_bình chung của mỗi môn và yêu_cầu mức nào bạn có_thể kiểm_tra xem điểm trung_bình chung của bạn có đáp_ứng được yêu_cầu không liên_hệ trực_tiếp nếu sau khi đọc văn_bản mà vẫn còn nghi_ngờ hoặc cần thêm thông_tin bạn nên liên_hệ trực_tiếp với cán_bộ tuyển_sinh của trường hoặc cơ_sở giáo_dục để được giải_đáp thắc_mắc nói_chung để có câu trả_lời chính_xác nhất và chi_tiết nhất bạn nên tham_khảo thông_tin từ nguồn chính_thức hoặc liên_hệ trực_tiếp với cơ_sở giáo_dục mà bạn quan_tâm
7,trường cho em hỏi là hiện_giờ thí_sinh có_thể tham_gia thi vào trường bằng bài thi kiểm_tra tư_duy hoặc bài thi tốt_nghiệp THPTQG vậy em có_thể đăng_kí cả 2 phương_thức này cùng lúc hay_là em chỉ được chọn 1 trong 2 phương_thức ạ em cảm_ơn ạ,chào em_em có_thể chọn tất CẢ CÁC PHƯƠNG_thức nếu_như em thấy mình phù_hợp nhé
8,thưa ban tuyển_sinh đhbk em hiện là du_học_sinh việt đang học ở canada chuyên_ngành kỹ_thuật điện và có mong_muốn được dành một học_kỳ từ_học_tập ngành kĩ_thuật điện ở đại_học bách_khoa nhà_trường có_thể chia_sẻ phương_thức đăng_ký theo học cũng như tài_liệu cần nộp và hạn nộp hồ_sơ với em được không ạ em thấy trường có chương_trình học cho non degree seeking students trên website nhưng không biết các bạn tham_gia chương_trình này có được nhận tín_chỉ_điểm và bảng điểm transcript cho mỗi lớp theo học không em xin cảm_ơn,chào em_em hãy gửi mail đến phòng tuyển_sinh tuyensinh hust edu vn với nội_dung tiêu_đề thư như câu hỏi này thông_tin cá_nhân của em nội_dung trình_bày kèm minh chứng là bảng điểm học_bạ giấy_tờ khác liên_quan nếu có nhà_trường sẽ xem_xét trường_hợp của em và phản_hồi qua email
9,thầy cô tư_vấn cho em là liệu có cách nào để chuyển ngành học không ạ em 2k5 và đỗ xét tuyển tài_năng diện 1 3 em để nguyện_vọng 1 là một ngành tầm trung và trong quá_trình học_tập tại ngành này nếu em muốn và cố_gắng thì có được chuyển sang ngành khác cao hơn không ạ em có nghe các anh_chị tư_vấn rằng nếu điểm xttn của mình lớn hơn ngành muốn chuyển thì sau 1 năm_học_tập có_thể xin chuyển lên ngành cao hơn ạ điểm xét tuyển tài_năng của em đỗ được các ngành cao hơn mà em mong_muốn ạ mong thầy cô tư_vấn để em định_hướng được được lộ_trình học_tập của mình ạ em xin cảm_ơn thầy cô,chào em_em chỉ có_thể đổi sang ngành có ngưỡng điểm bằng hoặc thấp hơn ngành tại năm em trúng_tuyển theo từng diện xét và em cần phải làm đơn trình_bày gửi tới mail tuyensinh hust edu vn em cần nghiên_cứu và xem_xét thật kỹ để làm đơn đổi luôn sau khi học một năm nữa em cũng có_thể làm đơn xin đổi ngành nhưng theo thầy em nên thực_hiện luôn để lỡ 1 năm sau em mới làm đơn xin đổi ngành ngành em xin chuyển sang không còn chỉ_tiêu đã full thì cũng khó cho quyết_định của em lúc đó còn như thầy chỉ tư_vấn cho em rằng mọi thứ chỉ là tương_đối em cần nhìn ra xa hơn như thạc_sĩ sẽ học ngành nào còn học đại_học chỉ cần học ngành gần đúng cũng vẫn có_thể học lên thạc_sĩ được miễn_là em sẽ vượt qua thật tốt thời_gian học đại_học đừng chọn ngành quá_sức hoặc không thích tý nào kể_cả sau_này khi ra trường điều quyết_định em sẽ tiến xa hơn trong nghề_nghiệp còn phụ_thuộc vào kỹ_năng tin_học văn_phòng ngoại_ngữ kỹ_năng xử_lý tình_huống các mối quan_hệ nên em cần xây_dựng cho mình rất nhiều kiến_thức kỹ_năng thông_tin mối quan_hệ chứ không chỉ đơn_thuần là những kiến_thức chỉ có trong giáo_trình
